Brand,SKU,Title_EN,Title_FR,Description_EN,Description_FR
Rumex International,NO_SKU,"Smartsil5000 Purified Silicone Oil for Retinal Endotamponade, 5000 Cst, 10 Ml in a 20 Ml Syringe","Smartsil5000 Purified Huile de Silicone pour Rétinien Endotamponade, 5000 Cst, 10 Ml in un 20 Ml Syringe","Highly purified Silicone Oil for Vitreoretinal SurgeryViscosity 5000 cStIndicationSmartSil 5000 is used for prolonged tamponade after surgical treatment for severe retinal detachmentsAdvantagesMaximum interfacial tension and minimum interactions between tissues, cells and endo-tamponades mediaOptimal combination of specific gravity, refractive index and surface tension5000 cSt viscosity enables stable temporary tamponadeVacuum molecular distillation solvent-free purification - no risk of emulsificationNot available in the USAsmartsil1000,12-5229_disposable_one_step_trocar_system,12-7523_disposable_diamond-dusted_retractable_ilm_elevator,12-5161h_backflush_istrument_with_soft_tip,12-202-23-vertical_scissors_tip_only,13-0979-delicate_membrane_pickhttps://cdn.shopify.com/s/files/1/0605/8249/4420/files/Vitreoretinal_Instruments_Catalog.pdf?v=1663166385,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/Vitreoretinal_Instruments_Catalog.png?v=1663166363;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartSil_A4_en_1302_OUT.pdf?v=1612359956,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartSil_A4_en_1302_OUT.jpg?v=1612360271.","Highly purified huile de silicone pour vitréorétinien SurgeryViscosity 5000 cStIndicationSmartSil 5000 is used pour prolonged tamponade after chirurgical traitement pour severe rétinien detachmentsAdvantagesMaximum interfacial tension et minimum interactions between tissues, cells et endo-tamponades mediaOptimal combination of specific gravity, refractive index et surface tension5000 cSt viscosity enables stable temporary tamponadeVacuum molecular distillation solvent-free purification - no risk of emulsificationNot available in le USAsmartsil1000,12-5229_disposable_one_step_trocar_system,12-7523_disposable_diamond-dusted_retractable_ilm_elevator,12-5161h_backflush_istrument_with_soft_tip,12-202-23-vertical_scissors_tip_only,13-0979-delicate_membrane_pickhttps://cdn.shopify.com/s/files/1/0605/8249/4420/files/Vitreoretinal_Instruments_Catalog.pdf?v=1663166385,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/Vitreoretinal_Instruments_Catalog.png?v=1663166363;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartSil_A4_en_1302_OUT.pdf?v=1612359956,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartSil_A4_en_1302_OUT.jpg?v=1612360271."
Rumex International,NO_SKU,"Smartsil1000 Purified Silicone Oil for Retinal Endotamponade, 1000 Cst, 10 Ml in a 20 Ml Syringe","Smartsil1000 Purified Huile de Silicone pour Rétinien Endotamponade, 1000 Cst, 10 Ml in un 20 Ml Syringe","Highly purified Silicone Oil for Vitreoretinal SurgeryViscosity 1000 cStIndicationSmartSil 1000 is used for prolonged tamponade after surgical treatment for severe retinal detachmentsAdvantagesMaximum interfacial tension and minimum interactions between tissues, cells and endo-tamponades mediaOptimal combination of specific gravity, refractive index and surface tension1000 cSt viscosity enables easy injectionVacuum molecular distillation solvent-free purification - no risk of emulsificationNot available in the USAsmartsil5000,12-003t-ergonomic_handle,12-209-23-curved_subretinal_scissors_tip_only,12-5173-23-two_step_trocar_system,12-7525_disposable_diamond-dusted_retractable_ilm_elevator,12-410-23dp-disposable_vitreoretinal_eckardt_end_gripping_forcepshttps://cdn.shopify.com/s/files/1/0605/8249/4420/files/Vitreoretinal_Instruments_Catalog.pdf?v=1663166385,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/Vitreoretinal_Instruments_Catalog.png?v=1663166363;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartSil_A4_en_1302_OUT.pdf?v=1612359956,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartSil_A4_en_1302_OUT.jpg?v=1612360271.","Highly purified huile de silicone pour vitréorétinien SurgeryViscosity 1000 cStIndicationSmartSil 1000 is used pour prolonged tamponade after chirurgical traitement pour severe rétinien detachmentsAdvantagesMaximum interfacial tension et minimum interactions between tissues, cells et endo-tamponades mediaOptimal combination of specific gravity, refractive index et surface tension1000 cSt viscosity enables easy injectionVacuum molecular distillation solvent-free purification - no risk of emulsificationNot available in le USAsmartsil5000,12-003t-ergonomic_handle,12-209-23-curved_subretinal_scissors_tip_only,12-5173-23-two_step_trocar_system,12-7525_disposable_diamond-dusted_retractable_ilm_elevator,12-410-23dp-disposable_vitreoretinal_eckardt_end_gripping_forcepshttps://cdn.shopify.com/s/files/1/0605/8249/4420/files/Vitreoretinal_Instruments_Catalog.pdf?v=1663166385,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/Vitreoretinal_Instruments_Catalog.png?v=1663166363;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartSil_A4_en_1302_OUT.pdf?v=1612359956,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartSil_A4_en_1302_OUT.jpg?v=1612360271."
Rumex International,NO_SKU,"Supreme Viscoelastic Surgical Fluid Set for Intraocular Use. Ophthalmic Set Includes: One Syringe with 2.00 Ml Hydroxypropyl Methylcellulose 2%; One Single-use Injection Cannula","Supreme Viscoelastic Chirurgical Fluid Ensemble pour Intraoculaire Use. Ophthalmic Ensemble Includes: One Syringe avec 2.00 Ml Hydroxypropyl Methylcellulose 2%; One Usage Unique Injection Canule","DispersiveHPMC 2%Supreme is used to:- coat ocular structures during cataract surgery: in the initial part, during capsulorhexis, phacoemulsification and ultrasound;- protect corneal endothelium in the eye where endothelium pathology is suspected.AdvantagesHighly dispersiveThe best endothelial protectionEasy removalCompletely transparentNo refrigeration necessaryEasy transportation and storage (2–35 ºC)Not available in the USAsmartvisc,4-031t-utrata_capsulorhexis_forceps_straight_jaws_round_handle,6-10-6-070-universal_straight_side_port_knives,15-129-0_3-simcoe_i_a_cannula_regular,4-185t-tennant_straight_tying_forcepshttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/MICS_Catalog.pdf?v=1612359960,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_MICS_A5.jpg?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.pdf?v=1612359963,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.png?v=1612360270;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX__Supreme_A4_en_1302_OUT.pdf?v=1612359955,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX__Supreme_A4_en_1302_OUT.jpg?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.pdf?v=1612359959,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.png?v=1612360272.","DispersiveHPMC 2%Supreme is used to:- coat oculaire structures during chirurgie de la cataracte: in le initial partie, during capsulorhexis, phacoémulsification et ultrasons;- protect cornéen endothelium in le eye where endothelium pathology is suspected.AdvantagesHighly dispersiveThe best endothelial protectionEasy removalCompletely transparentNo refrigeration necessaryEasy transportation et storage (2–35 ºC)Not available in le USAsmartvisc,4-031t-utrata_capsulorhexis_forceps_straight_jaws_round_handle,6-10-6-070-universal_straight_side_port_knives,15-129-0_3-simcoe_i_a_cannula_regular,4-185t-tennant_straight_tying_forcepshttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/MICS_Catalog.pdf?v=1612359960,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_MICS_A5.jpg?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.pdf?v=1612359963,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.png?v=1612360270;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX__Supreme_A4_en_1302_OUT.pdf?v=1612359955,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX__Supreme_A4_en_1302_OUT.jpg?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.pdf?v=1612359959,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.png?v=1612360272."
Rumex International,NO_SKU,"Smartvisc PLUS Viscoelastic Solution Set for Intraocular Use. Ophthalmic Set Includes: One Syringe with 1.00 Ml Sodium Hyaluronate 3.0%; One Single-use Injection Cannula, Luer-lock, 23 Ga","Smartvisc PLUS Viscoelastic Solution Ensemble pour Intraoculaire Use. Ophthalmic Ensemble Includes: One Syringe avec 1.00 Ml Sodium Hyaluronate 3.0%; One Usage Unique Injection Canule, Luer-lock, 23 Ga","CohesiveSodium Hyaluronate 3%SmartVisc PLUS is used to:- maintain space and pressure in the eye- keep the empty capsular bag open for IOL insertion- support the anterior chamber and flatten the anterior capsule- dilate small pupils- dissect areas of adhesionAdvantages:No refrigeration necessaryGood maintenance of the anterior chamber and the capsular bagControlled capsulorhexisEasy implantationBetter adhesiveness to the corneal endothelium during phacoemulsificationFavorable environment for ophthalmic surgeryExcellent protection against mechanical damagesNot available in the USAsmartvisc,4-032s-microincisional_capsulorrhexis_forceps,5-032-sinskey_hook,6-20-6-073-phaco_diamond_knife,7-080-iah-irrigation_aspiration_handpiecehttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/MICS_Catalog.pdf?v=1612359960,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_MICS_A5.jpg?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.pdf?v=1612359963,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.png?v=1612360270;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.pdf?v=1612359959,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.png?v=1612360272;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartVisc_A4_en_1002_OUT.pdf?v=1612359955,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartVisc_A4_en_1002_OUT.jpg?v=1612360271.","CohesiveSodium Hyaluronate 3%SmartVisc PLUS is used to:- maintain space et pressure in le eye- keep le empty capsular bag open pour IOL insertion- support le chambre antérieure et flatten le antérieur capsule- dilate small pupils- dissect areas of adhesionAdvantages:No refrigeration necessaryGood maintenance of le chambre antérieure et le capsular bagControlled capsulorhexisEasy implantationBetter adhesiveness to le cornéen endothelium during phacoemulsificationFavorable environment pour ophthalmic surgeryExcellent protection against mechanical damagesNot available in le USAsmartvisc,4-032s-microincisional_capsulorrhexis_forceps,5-032-sinskey_hook,6-20-6-073-phaco_diamond_knife,7-080-iah-irrigation_aspiration_handpiecehttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/MICS_Catalog.pdf?v=1612359960,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_MICS_A5.jpg?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.pdf?v=1612359963,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.png?v=1612360270;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.pdf?v=1612359959,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.png?v=1612360272;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartVisc_A4_en_1002_OUT.pdf?v=1612359955,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartVisc_A4_en_1002_OUT.jpg?v=1612360271."
Rumex International,NO_SKU,"Smartvisc Viscoelastic Solution Set for Intraocular Use. Ophthalmic Set Includes: One Syringe with 1.00 Ml Sodium Hyaluronate 1.6%; One Single-use Injection Cannula, Luer-lock, 27 Ga","Smartvisc Viscoelastic Solution Ensemble pour Intraoculaire Use. Ophthalmic Ensemble Includes: One Syringe avec 1.00 Ml Sodium Hyaluronate 1.6%; One Usage Unique Injection Canule, Luer-lock, 27 Ga","CohesiveSodium Hyaluronate 1,6%SmartVisc is used to:- maintain space and pressure in the eye- keep the empty capsular bag open for IOL insertion- support the anterior chamber and flatten the anterior capsule- dilate small pupils- dissect areas of adhesionAdvantages:No refrigeration necessaryGood maintenance of the anterior chamber and the capsular bagControlled capsulorhexisEasy implantationBetter adhesiveness to the corneal endothelium during phacoemulsificationFavorable environment for ophthalmic surgeryExcellent protection against mechanical damagesNot available in the USAsmartvisc_plus,4-0394-capsulorhexis-forceps-with-scale-cross-action,6-20-6-107-phaco_diamond_knife,15-129-0_4-simcoe_i_a_cannula_regular,7-130-seibel_chopper,16-2807-iol_injector_for_d_cartridgehttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/MICS_Catalog.pdf?v=1612359960,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_MICS_A5.jpg?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.pdf?v=1612359963,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.png?v=1612360270;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.pdf?v=1612359959,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.png?v=1612360272;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartVisc_A4_en_1002_OUT.pdf?v=1612359955,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartVisc_A4_en_1002_OUT.jpg?v=1612360271.","CohesiveSodium Hyaluronate 1,6%SmartVisc is used to:- maintain space et pressure in le eye- keep le empty capsular bag open pour IOL insertion- support le chambre antérieure et flatten le antérieur capsule- dilate small pupils- dissect areas of adhesionAdvantages:No refrigeration necessaryGood maintenance of le chambre antérieure et le capsular bagControlled capsulorhexisEasy implantationBetter adhesiveness to le cornéen endothelium during phacoemulsificationFavorable environment pour ophthalmic surgeryExcellent protection against mechanical damagesNot available in le USAsmartvisc_plus,4-0394-capsulorhexis-pince-avec-scale-cross-action,6-20-6-107-phaco_diamond_knife,15-129-0_4-simcoe_i_a_cannula_regular,7-130-seibel_chopper,16-2807-iol_injector_for_d_cartridgehttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/MICS_Catalog.pdf?v=1612359960,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_MICS_A5.jpg?v=1612360271;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.pdf?v=1612359963,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_IOLs.png?v=1612360270;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.pdf?v=1612359959,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/IOL_implantation_ENG.png?v=1612360272;https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartVisc_A4_en_1002_OUT.pdf?v=1612359955,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/RUMEX_SmartVisc_A4_en_1002_OUT.jpg?v=1612360271."
Rumex International,NO_SKU,"VRS-23 Disposable MVR Knife, Multifacet, 23 Ga, Straight, Safety System, 6 Per Box","VRS-23 Jetable Couteau MVR, Multifacet, 23 Ga, Droit, Safety Système, 6 Par Boîte","For posterior segment penetration/side port incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.vra-23-mvr_knife_with_safety_lid,2-100s-braunstein_fixed_caliper,12-5173-23-two_step_trocar_system,6-20-6-100-phaco_diamond_knife,12-304-23d_disposable_gripping_forceps,18-302-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","Pour segment postérieur penetration/side port incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.vra-23-mvr_knife_with_safety_lid,2-100s-braunstein_fixed_caliper,12-5173-23-two_step_trocar_system,6-20-6-100-phaco_diamond_knife,12-304-23d_disposable_gripping_forceps,18-302-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365."
Rumex International,NO_SKU,"VRS-20 Disposable MVR Knife, Multifacet, 20 Ga, Straight, Safety System, 6 Per Box","VRS-20 Jetable Couteau MVR, Multifacet, 20 Ga, Droit, Safety Système, 6 Par Boîte","For posterior segment penetration/side port incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.vra-20-mvr_knife_with_safety_lid,vrs-23-mvr_knife_with_safety_lid,2-100s-braunstein_fixed_caliper,12-325-23-pick_forceps_tip_only,12-003t-ergonomic_handle,18-303-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","Pour segment postérieur penetration/side port incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.vra-20-mvr_knife_with_safety_lid,vrs-23-mvr_knife_with_safety_lid,2-100s-braunstein_fixed_caliper,12-325-23-pick_forceps_tip_only,12-003t-ergonomic_handle,18-303-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365."
Rumex International,NO_SKU,"VRS-19 Disposable MVR Knife, Multifacet, 19 Ga, Straight, Safety System, 6 Per Box","VRS-19 Jetable Couteau MVR, Multifacet, 19 Ga, Droit, Safety Système, 6 Par Boîte","For posterior segment penetration/side port incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.vra-19-mvr_knife_with_safety_lid,vrs-20-mvr_knife_with_safety_lid,2-101t-braunstein_fixed_caliper,12-420-27-end_grasping_forceps_tip_only,12-003t-ergonomic_handle,18-305-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","Pour segment postérieur penetration/side port incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.vra-19-mvr_knife_with_safety_lid,vrs-20-mvr_knife_with_safety_lid,2-101t-braunstein_fixed_caliper,12-420-27-end_grasping_forceps_tip_only,12-003t-ergonomic_handle,18-305-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365."
Rumex International,NO_SKU,"VRA-23 Disposable MVR Knife, Multifacet, 23 Ga, Angled, Safety System, 6 Per Box","VRA-23 Jetable Couteau MVR, Multifacet, 23 Ga, Angulé, Safety Système, 6 Par Boîte","For posterior segment penetration/side port incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.vrs-23-mvr_knife_with_safety_lid,2-100s-braunstein_fixed_caliper,12-5173-23-two_step_trocar_system,12-410-23d_disposable_eckardt_end_gripping_forceps,12-304-23d_disposable_gripping_forceps,18-303-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","Pour segment postérieur penetration/side port incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.vrs-23-mvr_knife_with_safety_lid,2-100s-braunstein_fixed_caliper,12-5173-23-two_step_trocar_system,12-410-23d_disposable_eckardt_end_gripping_forceps,12-304-23d_disposable_gripping_forceps,18-303-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365."
Rumex International,NO_SKU,"VRA-20 Disposable MVR Knife, Multifacet, 20 Ga, Angled, Safety System, 6 Per Box","VRA-20 Jetable Couteau MVR, Multifacet, 20 Ga, Angulé, Safety Système, 6 Par Boîte","For posterior segment penetration/side port incisions; SterileNote: disposable/sterile merchandise is not subject to return, exchange or refund.vrs-20-mvr_knife_with_safety_lid,vra-23-mvr_knife_with_safety_lid,2-100t-braunstein_fixed_caliper,12-420-27-end_grasping_forceps_tip_only,12-003t-ergonomic_handle,18-302-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365.","Pour segment postérieur penetration/side port incisions; SterileNote: jetable/stérile merchandise is not subject to return, exchange ou refund.vrs-20-mvr_knife_with_safety_lid,vra-23-mvr_knife_with_safety_lid,2-100t-braunstein_fixed_caliper,12-420-27-end_grasping_forceps_tip_only,12-003t-ergonomic_handle,18-302-plastic_sterilizing_trayhttps://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf?v=1619189383,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/single_use_products.18.png?v=1612360271;https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.pdf?v=1663166368,https://cdn.shopify.com/s/files/1/0605/8249/4420/files/RUMEX_Disposable_Knives_ENG.png?v=1663166365."
