Ref Fournisseur,Nom Produit (FR),Nom Produit (EN),Fabricant,Discipline (Parent),Categorie,Category ID,Statut
"100650, 100666, 100664, 100665, 100667, 146011",Unité d Examen ORL BASIC,ENT Examination Unit BASIC,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"220000, 556339",Poste de Travail ORL COMPACT,ENT Workstation COMPACT,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"250000, 250060, 250090, 200300, 200301, 556339",Unité de Traitement ORL PLUS,ENT Treatment Unit PLUS,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"325044, 325162, 325163, 325182",Set Endoscopes Rigides 0°/30°,Rigid Endoscope Set 0°/30°,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"325055, 325059",Système de Lampe Frontale LED,LED Headlight System,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
325080,Lampe Frontale Fibre Optique Type Binner,Fibre Optic Headlight Type Binner,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"325161, 325180, 325183, 325195",Kit Endoscope de Diagnostic,Diagnostic Endoscope Kit,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
325164,Endoscope Rigide 45°,Rigid Endoscope 45°,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"325168, 325169, 325291, 325296",Set Endoscope Nasal,Nasal Endoscope Set,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"325175, 325181, 325191, 325194, 325118",Système Laryngoscope,Laryngoscope System,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"325293, 325298",Endoscope Otoscope 4mm,Otoscope Endoscope 4mm,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"325325, 325348, 325321, 325326, 325329",Système de Vidéo-Endoscopie,Video Endoscopy System,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"325420, 325423",Système de Stroboscopie PES PILOT,Stroboscopy System PES PILOT,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
325423 (Stroboscope variant),Stroboscope STROBO Compact,Stroboscope STROBO Compact,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"350035, 350032, 350038, 350059, 700000",Station de Diagnostic ORL DIGITAL 5,ENT Diagnosis Station DIGITAL 5,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"350036, 350040, 350043, 350047, 350034, 350063, 350068, 350069, 350031, 700007, 700010, 700011, 495359, 350042, 350058, 497404",Centre de Traitement ORL PROFESSIONAL,ENT Treatment Center PROFESSIONAL,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
740009,Tympanomètre TYMP,TYMP Tympanometer,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
"740011, 740012, 140013, 740018, 740047, 700008",Système d Audiométrie Complet,Audiometry System Complete,otopront,ORL (Oto-Rhino-Laryngologie),Exploration,ent-exploration,active
FS123,Fauteuil roulant électrique,Electric Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS123GC,Fauteuil roulant électrique avec garde,Electric Wheelchair with Guard,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS140,Fauteuil roulant électrique pliable,Foldable Electric Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS141,Fauteuil roulant électrique ultra-léger,Ultra-Lightweight Electric Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS3020W,Lit d'hôpital manuel 2 fonctions,2-Function Manual Hospital Bed,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS3230WZ,Lit d'hôpital manuel 3 fonctions,3-Function Manual Hospital Bed,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS3239WZF4,Lit d'hôpital électrique multifonction,Multi-function Electric Hospital Bed,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS609U,Chaise roulante avec bassin,Wheelchair with Commode,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS696,Chaise roulante bassin roulettes,Rolling Wheelchair with Commode,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS802-35,Fauteuil Roulant Manuel en Acier,Manual Steel Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS809,Fauteuil Roulant Manuel Standard en Acier,Standard Steel Manual Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS809B,Fauteuil roulant manuel standard,Manual Standard Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS868,Fauteuil roulant manuel standard,Standard Manual Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS874F5,Fauteuil Roulant Manuel à Dossier Haut,High Back Manual Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS875,Fauteuil roulant manuel léger,Lightweight Manual Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS894,Chaise roulante douche bassin,Shower Wheelchair with Commode,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS899,Chaise percée de chevet,Bedside Commode Chair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS902C,Fauteuil Roulant de Transport Léger,Lightweight Transit Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS902GC,Fauteuil Roulant de Transport avec Garde,Transit Wheelchair with Guard,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
