referenceFournisseur,constructeur,slug,categoryId,status,isFeatured,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,imageUrl
9601,MORIA,vannas-scissors-curved-blunt-blades-9601,ophthalmology-surgical,active,,Vannas ciseaux(courbé(e) émoussé(e) blades),Vannas Scissors(Curved blunt blades),"8.7-cm total length withcurvedblunt blades, 5 mm x 0.5 mm blades. can be used to cut the cornea, iris, capsule ormembrane.","8.7-cm total length withcurvedblunt blades, 5-mm x 0.5-mm blades. Can be used to cut the cornea,iris, capsule ormembrane.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 87 mm; Blades: 5-mm blunt blades; Intended use: To cut the cornea, iris, capsule, membrane.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 87 mm; Blades: 5-mm blunt blades; Intended use: To cut the cornea, iris, capsule, membrane.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/82ad56e7c299ac116b0f7a2088e5ac633634573b.jpg
13246,MORIA,bonn-kraff-forceps-0-12-mm-teeth-with-platforms-an,ophthalmology-surgical,active,,Bonn-kraff pinces(0.12 mm teeth avec platforms et long jaws),Bonn-Kraff Forceps(0.12-mm teeth with platforms and long jaws),"Reusablebonn-kraffholding pinces avec platforms and0.12 mmfacing micro teeth, avec abird cagehandle. can be used to hold the eye pendant ophtalmique surgery.","ReusableBonn-Kraffholding forceps with platforms and0.12-mmfacing micro teeth, with abird cagehandle. Can be used to hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 12 cm; Tip: 0.12-mm teeth, straight; Handle: Bird cage design; Intended use: To hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 12 cm; Tip: 0.12-mm teeth, straight; Handle: Bird cage design; Intended use: To hold the eye during ophthalmic surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/a3a345b25137b6ffb0f3813c7c8afc2b5a6f73ff.jpg
7850A,MORIA,bonn-moria-forceps-0-18-mm-teeth-with-platforms-78,ophthalmology-surgical,active,,Bonn-moria pinces(0.18 mm teeth avec platforms),Bonn-Moria Forceps(0.18-mm teeth with platforms),Reusablebonn-moriaholding pinces withplatformsand0.18 mmfacing micro teeth. can be used to hold the cornea.,ReusableBonn-Moriaholding forceps withplatformsand0.18-mmfacing micro teeth. Can be used to hold the cornea.,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 10 cm; Tip: 0.18-mm teeth, straight; Handle: Flat; Intended use: To hold the cornea.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 10 cm; Tip: 0.18-mm teeth, straight; Handle: Flat; Intended use: To hold the cornea.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/e23723c718a7942ac831593e2bfa2303d74839ea.jpg
7862,MORIA,barraquer-troutman-forceps-0-12-mm-oblique-teeth-c,ophthalmology-surgical,active,,"Barraquer-troutman pinces(0.12 mm oblique teeth, “colibri” type)","Barraquer-Troutman Forceps(0.12-mm oblique teeth, “colibri” type)","Reusablebarraquer-troutmanforceps avec tyingplatformsand0.12 mmoblique teeth, “colibri” type. can be used to hold the eye pendant ophtalmique surgery.","ReusableBarraquer-Troutmanforceps with tyingplatformsand0.12-mmoblique teeth, “colibri” type. Can be used to hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 7.5 cm; Tip: 0.12-mm teeth, oblique; Handle: Serrated; Intended use: To hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 7.5 cm; Tip: 0.12-mm teeth, oblique; Handle: Serrated; Intended use: To hold the eye during ophthalmic surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/8412e4c75862ebaf475f0daa4c78857b546a38c6.jpg
9803,MORIA,pierse-forceps-0-2-mm-oblique-teeth-colibri-type-w,ophthalmology-surgical,active,,"Pierse pinces(0.2 mm oblique teeth, “colibri” type, avec notched jaws et platforms)","Pierse Forceps(0.2-mm oblique teeth, “colibri” type, with notched jaws and platforms)","Reusablepierseforceps with0.2 mmnotched jaws andplatforms, “colibri” type. can be used to hold the eye pendant ophtalmique surgery.","ReusablePierseforceps with0.2-mmnotched jaws andplatforms, “colibri” type. Can be used to hold the eye during ophthalmic surgery.",Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 7.5 cm; Tip: 0.2-mm notched jaws; Handle: Serrated; Intended use: To hold the eye during ophthalmic surgery.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 7.5 cm; Tip: 0.2-mm notched jaws; Handle: Serrated; Intended use: To hold the eye during ophthalmic surgery.,https://www.moria-surgical.com/media/cache/product_viewer/files/product/f51ee925d854e800b4e12bb32bd96ae8f6ab01c9.jpg
13160,MORIA,bonn-forceps-0-12-mm-teeth-with-platforms-13160,ophthalmology-surgical,active,,Bonn pinces(0.12 mm teeth avec platforms),Bonn Forceps(0.12-mm teeth with platforms),"Reusablebonnholding pinces withplatformsand0.12 mmfacing micro teeth, avec abird cagehandle. can be used to hold the eye pendant ophtalmique surgery.","ReusableBonnholding forceps withplatformsand0.12-mmfacing micro teeth, with abird cagehandle. Can be used to hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 9.7 cm; Tip: 0.12-mm teeth, straight; Handle: Bird cage design; Intended use: To hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 9.7 cm; Tip: 0.12-mm teeth, straight; Handle: Bird cage design; Intended use: To hold the eye during ophthalmic surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/0faf1bc543049cd78ad60e6f1a6e6b23b704d201.jpg
13161,MORIA,bonn-moria-forceps-0-12-mm-teeth-with-platforms-13,ophthalmology-surgical,active,,Bonn-moria pinces(0.12 mm teeth avec platforms),Bonn-Moria Forceps(0.12-mm teeth with platforms),"Reusablebonnholding pinces avec platforms and0.12 mmfacing micro teeth, avec abird cagehandle. can be used to hold the eye pendant ophtalmique surgery.","ReusableBonnholding forceps with platforms and0.12-mmfacing micro teeth, with abird cagehandle. Can be used to hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 11 cm; Tip: 0.12-mm teeth, straight; Handle: Bird cage design; Intended use: To hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 11 cm; Tip: 0.12-mm teeth, straight; Handle: Bird cage design; Intended use: To hold the eye during ophthalmic surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/44acab384eed5e7c8026215b727bc4310ab55577.jpg
13240,MORIA,bonn-kraff-forceps-0-1-mm-oblique-teeth-and-tying-,ophthalmology-surgical,active,,Bonn-kraff pinces(0.1 mm oblique teeth et tying platforms),Bonn-Kraff Forceps(0.1-mm oblique teeth and tying platforms),"Reusablebonn-kraffforceps with0.1 mmoblique teeth et tyingplatforms, avec abird cagehandle. can be used to hold the eye pendant ophtalmique surgery.","ReusableBonn-Kraffforceps with0.1-mmoblique teeth and tyingplatforms, with abird cagehandle. Can be used to hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 12 cm; Tip: 0.1-mm teeth, oblique; Handle: Bird cage design; Intended use: To hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 12 cm; Tip: 0.1-mm teeth, oblique; Handle: Bird cage design; Intended use: To hold the eye during ophthalmic surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/3eb1869ce51f7c26989aefe53333634289b9138d.jpg
2280A,MORIA,lester-forceps-1-1-mm-teeth-2280a,ophthalmology-surgical,active,,Lester pinces(1.1 mm teeth),Lester Forceps(1.1-mm teeth),"Reusablelesterconjunctival pinces avec 1.1 mm teeth et 11.1-cm length. can be used to seize, rotate ou manipulate the eyeball without damaging the tissues, to manipulate the sclera, to fix the limb, to remove the iris, to lift theconjunctivaand the tenon facia.","ReusableLesterconjunctival forceps with 1.1-mm teeth and 11.1-cm length.Can be used to seize, rotate or manipulate the eyeball without damaging the tissues, to manipulate the sclera, to fix the limb, to remove the iris, to lift theconjunctivaand the Tenon facia.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 11.1 cm; Tip: 1.1-mm teeth; Handle: Flat; Intended use: To grasp, rotate or manipulate the globe without damaging any tissue.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 11.1 cm; Tip: 1.1-mm teeth; Handle: Flat; Intended use: To grasp, rotate or manipulate the globe without damaging any tissue.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/e4cc0ab445ef1f7a1899237cdaa84266a5641840.jpg
7835,MORIA,bonn-forceps-0-12-mm-teeth-with-platforms-7835,ophthalmology-surgical,active,,Bonn pinces(0.12 mm teeth avec platforms),Bonn Forceps(0.12-mm teeth with platforms),Reusablebonnholding pinces withplatformsand0.12 mmfacing micro teeth. can be used to hold the cornea.,ReusableBonnholding forceps withplatformsand0.12-mmfacing micro teeth. Can be used to hold the cornea.,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 7.5 cm; Tip: 0.12-mm teeth, straight; Handle: Flat, serrated; Intended use: To hold the cornea.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 7.5 cm; Tip: 0.12-mm teeth, straight; Handle: Flat, serrated; Intended use: To hold the cornea.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/326558c66aba70948d00139dbbdddc4eaed905af.jpg
