referenceFournisseur,constructeur,slug,categoryId,status,isFeatured,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,imageUrl,originalBrand,originalProductName,sourceUrl
9601,MORIA,vannas-scissors-curved-blunt-blades-9601,ophthalmology-surgical,active,,Vannas Scissors(Curved blunt blades),Vannas Scissors(Curved blunt blades), Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/vannas-moria-scissors-3,https://www.moria-surgical.com/product/vannas-moria-scissors-3, Spatula,MORIA,CISEAUX, Manipulator
13246,MORIA,bonn-kraff-forceps-0-12-mm-teeth-with-platforms-an,ophthalmology-surgical,active,,Bonn-Kraff Forceps(0.12-mm teeth with platforms and long jaws),Bonn-Kraff Forceps(0.12-mm teeth with platforms and long jaws), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/bonn-kraff-forceps,https://www.moria-surgical.com/product/bonn-kraff-forceps, Spatula,MORIA,PINCES, Manipulator
7850A,MORIA,bonn-moria-forceps-0-18-mm-teeth-with-platforms-78,ophthalmology-surgical,active,,Bonn-Moria Forceps(0.18-mm teeth with platforms),Bonn-Moria Forceps(0.18-mm teeth with platforms), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/bonn-moria-forceps,https://www.moria-surgical.com/product/bonn-moria-forceps, Spatula,MORIA,PINCES, Manipulator
7862," “colibri” type)""",barraquer-troutman-forceps-0-12-mm-oblique-teeth-7,ophthalmology-surgical,active,,"""Barraquer-Troutman Forceps(0.12-mm oblique teeth","""Barraquer-Troutman Forceps(0.12-mm oblique teeth", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,PINCES,"""Reusable Instruments; Forceps; Bonn forceps; Barraquer-Troutman Forceps; Speculum; Capsulorhexis forceps; Other forceps; Hook"
Moria Surgical, “colibri” type,pierse-forceps-0-2-mm-oblique-teeth-moria-surgical,ophthalmology-surgical,active,,"""Pierse Forceps(0.2-mm oblique teeth","""Pierse Forceps(0.2-mm oblique teeth", Iris dilator, Iris dilator, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,"""Reusable Instruments; Forceps; Bonn forceps; Pierse Forceps; Speculum; Capsulorhexis forceps; Other forceps; Hook",MORIA,PINCES,Bonn forceps > Pierse Forceps
13160,MORIA,bonn-forceps-0-12-mm-teeth-with-platforms-13160,ophthalmology-surgical,active,,Bonn Forceps(0.12-mm teeth with platforms),Bonn Forceps(0.12-mm teeth with platforms), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/bonn-forceps-4,https://www.moria-surgical.com/product/bonn-forceps-4, Spatula,MORIA,PINCES, Manipulator
13161,MORIA,bonn-moria-forceps-0-12-mm-teeth-with-platforms-13,ophthalmology-surgical,active,,Bonn-Moria Forceps(0.12-mm teeth with platforms),Bonn-Moria Forceps(0.12-mm teeth with platforms), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/bonn-moria-forceps-2,https://www.moria-surgical.com/product/bonn-moria-forceps-2, Spatula,MORIA,PINCES, Manipulator
13240,MORIA,bonn-kraff-forceps-0-1-mm-oblique-teeth-and-tying-,ophthalmology-surgical,active,,Bonn-Kraff Forceps(0.1-mm oblique teeth and tying platforms),Bonn-Kraff Forceps(0.1-mm oblique teeth and tying platforms), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/kraff-moria-forceps,https://www.moria-surgical.com/product/kraff-moria-forceps, Spatula,MORIA,PINCES, Manipulator
2280A,MORIA,lester-forceps-1-1-mm-teeth-2280a,ophthalmology-surgical,active,,Lester Forceps(1.1-mm teeth),Lester Forceps(1.1-mm teeth), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/lester-forceps,https://www.moria-surgical.com/product/lester-forceps, Spatula,MORIA,PINCES, Manipulator
7835,MORIA,bonn-forceps-0-12-mm-teeth-with-platforms-7835,ophthalmology-surgical,active,,Bonn Forceps(0.12-mm teeth with platforms),Bonn Forceps(0.12-mm teeth with platforms), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/bonn-forceps-2,https://www.moria-surgical.com/product/bonn-forceps-2, Spatula,MORIA,PINCES, Manipulator
