referenceFournisseur,constructeur,categoryId,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,pdfBrochureUrl,imageUrls,status,featured
18103,moria,ophthalmology-surgical,"Canule(pour Hydrodissection, Ø 25G)","Cannula(for Hydrodissection, Ø 25G)",,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ed569725b03931ca1099e0ebe2654f0fef40e903.jpg,active,false
18104,moria,surgery-instruments,Halsted Pince(droite à Dents),Halsted Forceps(droite à Dents),Pince de Halsted droite à dents.,Pince of Halsted droite à dents.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/a3fa7d5ce39d0ec2fedc929d05aa814fbab11173.jpg,active,false
18112,moria,ophthalmology-surgical,Manipulator Crochet(finger-shaped),Manipulator Hook(finger-shaped),11.5-cm total longueur. angulé courbe,11.5-cm total length. Angled curved,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/e33ae5fa562d4ee849c08cd8f0f1f39ced05df07.jpg,active,false
18153,moria,surgery-instruments,"Hydrodissection Canule(ø 25G, Angulé)","Hydrodissection Cannula(ø 25G, Angled)",,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/d55019b5a533d03de5edac9f89763c62ddaae9ae.jpg,active,false
18158,moria,surgery-instruments,"Colin Pince(cross-action, Dentelé Mors)","Colin Forceps(cross-action, Serrated Jaws)",,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/4526e0f8045798ae583b8e813eea858af3e065bb.jpg,active,false
18186,moria,surgery-instruments,Dezard Trépan(avec Limit Stop-d15 Mm),Dezard Trephine(with Limit Stop-d15 Mm),Réutilisable Dezard trépan avec limit,Reusable Dezard trephine with limit,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/8626695ec01699b0180fc9c9e91b210157c1a75e.jpg,active,false
18195,moria,surgery-instruments,"Shapira Spéculum(open Wire Lames, Adult)","Shapira Speculum(open Wire Blades, Adult)",Réglable- lames: 15 mm avec olive embouts.,Adjustable- Blades: 15 mm with olive tips.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/828c157ce5f61fd605705b72e6400d6e04dab04a.jpg,active,false
18210,moria,ophthalmology-surgical,Stop & Chop Manipulator(stop & Chop),Stop & Chop Manipulator(stop & Chop),12.2-cm total,12.2-cm total,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ecb9f64c97ed996599690be06f8e489eef7599b9.jpg,active,false
18220,moria,surgery-instruments,Fine-thornton Anneau(ø 15 Mm),Fine-thornton Ring(ø 15 Mm),Openringwith a 15-mm external diamètre.120-mm total longueur avec a manche de 95-mm longueur et 5-mm diamètre.Can be used to hold le eye during ophthalmic chirurgie.,Openringwith a 15-mm external diameter.120-mm total length with a handle of 95-mm length and 5-mm diameter.Can be used to hold the eye during ophthalmic surgery.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/15ac4b09cb63134119c49d3a4cd680487aa52202.jpg,active,false
18221,moria,surgery-instruments,"Kratz Spéculum, Oblique(open Lames pour Temporal Incision)","Kratz Speculum, Oblique(open Blades for Temporal Incision)",Non réglable- lames: 15 mm.,Non adjustable- Blades: 15 mm.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/931f77d8cbd55006c02bed23b25425c695677301.jpg,active,false
18224,moria,ophthalmology-diagnostic,Caro Flap Repositioning Manipulator(pour Lasik),Caro Flap Repositioning Manipulator(for Lasik),Hemispheric partie,Hemispheric active,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/a4930e590d053446b9463a26b0fa83a5cf7e2a93.jpg,active,false
18225,moria,surgery-instruments,Fechtner Pince(fine Tying Platforms),Fechtner Forceps(fine Tying Platforms),,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/163a3804e084c45104f02a38e6010a9c206d1b64.jpg,active,false
18227,moria,ophthalmology-surgical,"Haefliger Phaco-cleaver(pour Right-handed User, Holding Instrument in Left Hand.)","Haefliger Phaco-cleaver(for Right-handed User, Holding Instrument in Left Hand.)",Total longueur 11.,Total length 11.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/960c5cdc77a54b30f7a121c587789c7aefd9130e.jpg,active,false
18228,moria,ophthalmology-surgical,"Haefliger Phaco-cleaver(pour Left-handed User, Holding Instrument in Right Hand)","Haefliger Phaco-cleaver(for Left-handed User, Holding Instrument in Right Hand)",Total longueur 11.,Total length 11.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/f41b4ef7746063a7ad067e2414d7ec36e3aa888f.jpg,active,false
18251,moria,surgery-instruments,Remplacement Embout-d 1.2 Mm(pour Ref. #18069),Replacement Tip-d 1.2 Mm(for Ref. #18069),Pre-calibrated semi-circular,Pre-calibrated semi-circular,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/27d8c53cc234f9358154843710e120b9b3b2a8f3.jpg,active,false
18267,moria,ophthalmology-surgical,"Aspirating Canule(scraper, Ø 0.35mm)","Aspirating Cannula(scraper, Ø 0.35mm)",Cataracte,Cataract,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/4bfccdffa95ab6e1c1644386409cc90e3cac5841.jpg,active,false
18268,moria,ophthalmology-surgical,"Irrigating Canule(mousse, Ø 0.5mm)","Irrigating Cannula(blunt, Ø 0.5mm)",Cataracte,Cataract,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/b3e7f8ba7339fe25a013c9224d24b71adb342454.jpg,active,false
