referenceFournisseur,constructeur,categoryId,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,pdfBrochureUrl,imageUrls,status,featured
8143A,moria,ophthalmology-surgical,"Micro-ciseaux(droit, Pointed Lames)","Micro-scissors(straight, Pointed Blades)",8-cm total longueur,8-cm total length,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/7b55debdf44d7c500fe9608cbe2513bb62fe2306.jpg,active,false
8144A,moria,ophthalmology-surgical,"Micro-ciseaux(courbe, Lames Mousses)","Micro-scissors(curved, Blunt Blades)",8-cm total longueur,8-cm total length,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/6a0ae09ab78c306d933197857a9ee01a4da54ea4.jpg,active,false
8147,moria,surgery-instruments,"Castroviejo Porte-aiguille(à Verrouillage, Mors Droits)","Castroviejo Needle-holder(locking, Straight Jaws)",Wire diamètre:8/0to10/0- mors type:,Wire diameter:8/0to10/0- Jaws type:,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/acf1ba796e0ec18e08489b885b4c71763e3f2e48.jpg,active,false
8148,moria,surgery-instruments,"Castroviejo Porte-aiguille(sans Verrouillage, Mors Droits)","Castroviejo Needle-holder(non-locking, Straight Jaws)",Wire diamètre:8/0to10/0- mors type:straightand lisse mors -Non-lockinghandle.,Wire diameter:8/0to10/0- Jaws type:straightand smooth jaws -Non-lockinghandle.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/2c416e6fd2f94f84d9f8ec969c7215f9461125fe.jpg,active,false
8149,moria,surgery-instruments,"Castroviejo Porte-aiguille(à Verrouillage, Mors Courbes)","Castroviejo Needle-holder(locking, Curved Jaws)",Wire diamètre:8/0to10/0- mors type:curvedjaws -Lockinghandle.,Wire diameter:8/0to10/0- Jaws type:curvedjaws -Lockinghandle.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/9f5fc9a232781618c3fde72e3f72653833bab09b.jpg,active,false
8150,moria,surgery-instruments,"Castroviejo Porte-aiguille(sans Verrouillage, Mors Courbes)","Castroviejo Needle-holder(non-locking, Curved Jaws)",Wire diamètre:8/0to10/0- mors type:curvedjaws -Non-lockinghandle.,Wire diameter:8/0to10/0- Jaws type:curvedjaws -Non-lockinghandle.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/8bb2c2f300883f6c38342794539dd5a020b4bb68.jpg,active,false
8151,moria,surgery-instruments,"Barraquer Porte-aiguille(sans Verrouillage, 15-mm Mors Courbes, 0.5-mm Wide)","Barraquer Needle-holder(non-locking, 15-mm Curved Jaws, 0.5-mm Wide)",Wire diamètre:10/0- mors type:curvedand lisse mors -Non-lockinghandle.,Wire diameter:10/0- Jaws type:curvedand smooth jaws -Non-lockinghandle.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/f52bc5c3b188e3c271c89558cd0ff34652a025f5.jpg,active,false
90061L,moria,surgery-instruments,Charleux-simcoe Canule(double-way),Charleux-simcoe Cannula(double-way),6-mmdouble-waycannulafor irrigation et,6-mmdouble-waycannulafor irrigation and,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/35bc53e34ca8b43658080fac1481f6817aed96a5.jpg,active,false
917,moria,surgery-instruments,One Use-plus Handpiece pour Artificial Chamber(pour Dsaek Chirurgie),One Use-plus Handpiece for Artificial Chamber(for Dsaek Surgery),One Use-Plus handpiece pour artificial chamber:,One Use-Plus handpiece for artificial chamber:,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/3f7c5fc56774049555ff183dccdfcd2f120d3e9e.jpg,active,false
9510,moria,surgery-instruments,"Castroviejo "utility" Pince(6.5-mm Platforms, 0.3-mm Oblique Teeth)","Castroviejo "utility" Forceps(6.5-mm Platforms, 0.3-mm Oblique Teeth)","Castroviejo"Utility" pince avec 0.3-mm oblique","Castroviejo"Utility" forceps with 0.3-mm oblique",,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/b52e3cf62d133816107a33dc932233a4fd4050e1.jpg,active,false
9600,moria,surgery-instruments,Vannas Ciseaux(droit Pointed Lames),Vannas Scissors(straight Pointed Blades),8.7-cm total longueur withstraightpointed,8.7-cm total length withstraightpointed,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/6a4fd5441406642889b0b2fc3b8d9e83ca01ce17.jpg,active,false
9600BIS,moria,surgery-instruments,Vannas Ciseaux(droit Lames Mousses),Vannas Scissors(straight Blunt Blades),8.7-cm total longueur withstraightblunt,8.7-cm total length withstraightblunt,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ffbb6f11a420447f9af90d4b3b266d04be02c0ae.jpg,active,false
9601,moria,surgery-instruments,Vannas Ciseaux(courbe Lames Mousses),Vannas Scissors(curved Blunt Blades),8.7-cm total longueur withcurvedblunt,8.7-cm total length withcurvedblunt,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/82ad56e7c299ac116b0f7a2088e5ac633634573b.jpg,active,false
9604,moria,surgery-instruments,"Troutman Pince(8-mm Platforms, Droit)","Troutman Forceps(8-mm Platforms, Straight)",Troutmanforceps avec a flat dentelé,Troutmanforceps with a flat serrated,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/8ef02617faa551c5dc862face3a1cc067d968c5f.jpg,active,false
9605,moria,surgery-instruments,"Troutman Pince(7.5-mm Platforms, Courbe)","Troutman Forceps(7.5-mm Platforms, Curved)",Troutmanforceps avec a flat dentelé,Troutmanforceps with a flat serrated,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/dd2fe056dee59b69610054d588fb888f97b409ea.jpg,active,false
9611B,moria,surgery-instruments,Culler Iris Spatule(très Délicat),Culler Iris Spatula(very Delicate),Très thin 1-mm partie active ended avec a small ball.Can be used to manipulate theiris.,Very thin 1-mm active part ended with a small ball.Can be used to manipulate theiris.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/5d8b5eab18423c7f5ae781d20e4546817b2ef017.jpg,active,false
9623,moria,ophthalmology-surgical,"Charleux Canule(aspirator, Ø 0.4mm)","Charleux Cannula(aspirator, Ø 0.4mm)",Cataracte,Cataract,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/4742186d1d68d833c8e71e96cfd98c629ab5fd6d.jpg,active,false
9627A,moria,surgery-instruments,"Castroviejo Spéculum(fenestrated Lames, Adult)","Castroviejo Speculum(fenestrated Blades, Adult)",Réglable- lames: 14 mmRecommended forstrabismusandretinal detachmentsurgery.,Adjustable- Blades: 14 mmRecommended forstrabismusandretinal detachmentsurgery.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/2103abd8f55459e1686cf54a4f5f6489a7e6ba48.jpg,active,false
9627B,moria,surgery-instruments,"Castroviejo Spéculum, Child Model(fenestrated Lames, Pediatric)","Castroviejo Speculum, Child Model(fenestrated Blades, Pediatric)",Réglable "Colibri" style - lames: 11 mmRecommended forstrabismusandretinal detachmentsurgery.,Adjustable "Colibri" style - Blades: 11 mmRecommended forstrabismusandretinal detachmentsurgery.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/0cb13506ebcb119573de19215b5d8c79610e257f.jpg,active,false
9721,moria,ophthalmology-surgical,Castroviejo Ciseaux(courbe Lames Mousses),Castroviejo Scissors(curved Blunt Blades),12.0-cm total longueur avec 10.0-mmcurvedblunt lames . Can be used to cut tissues,12.0-cm total length with 10.0-mmcurvedblunt blades . Can be used to cut tissues,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/5890e6d20e0c1dcc353b5e4355b1d71d557d753b.jpg,active,false
9803,moria,surgery-instruments,"Pierse Pince(0.2-mm Oblique Teeth, "colibri" Type, avec Notched Mors et Platforms)","Pierse Forceps(0.2-mm Oblique Teeth, "colibri" Type, with Notched Jaws and Platforms)",ReusablePierseforceps with0.2-mmnotched mors,ReusablePierseforceps with0.2-mmnotched jaws,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/f51ee925d854e800b4e12bb32bd96ae8f6ab01c9.jpg,active,false
9850,moria,ophthalmology-diagnostic,Troutman Ciseaux(clockwise),Troutman Scissors(clockwise),9.5-cm total longueur avec 6-mm,9.5-cm total length with 6-mm,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ab267b3c6406c2e7cb2eda33eba9ad101d76723d.jpg,active,false
9851,moria,ophthalmology-diagnostic,Troutman Ciseaux(counter-clockwise),Troutman Scissors(counter-clockwise),9.5-cm total longueur avec 6-mm,9.5-cm total length with 6-mm,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/db800f0f61e2b9407e007ecab1283245cf48a508.jpg,active,false
9960,moria,surgery-instruments,"Troutman-o'brien Porte-aiguille(sans Verrouillage, 0.8-mm Mors Courbes)","Troutman-o'brien Needle-holder(non-locking, 0.8-mm Curved Jaws)",Wire diamètre:10/0- mors type:curvedand lisse mors -Non-lockinghandle.,Wire diameter:10/0- Jaws type:curvedand smooth jaws -Non-lockinghandle.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/4d65abe0d7539cc112f2b3c60da0a58ba5602956.jpg,active,false
9960BIS,moria,surgery-instruments,"Troutman-o'brien Porte-aiguille(à Verrouillage, 0.8-mm Mors Courbes)","Troutman-o'brien Needle-holder(locking, 0.8-mm Curved Jaws)",Wire diamètre:10/0- mors type: 0.,Wire diameter:10/0- Jaws type: 0.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/b19db6ff84e067c787ffadd6ee2d0921c4c4e185.jpg,active,false
9965,moria,surgery-instruments,Remky-polak Pince(3.0-mm Angulé Teeth),Remky-polak Forceps(3.0-mm Angled Teeth),Réutilisable FixationRemky-PolakForceps avec 3.0-mm angulé teeth et 9.0-cm longueur.,Reusable FixationRemky-PolakForceps with 3.0-mm angled teeth and 9.0-cm length.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ab2c26fa7186590c3e60d45cdc15c32c60be2f0c.jpg,active,false
9980,moria,surgery-instruments,"Micro-chirurgie Pince(droit, Ultra-thin Embout)","Micro-surgery Forceps(straight, Ultra-thin Tip)",Pince pour,Forceps for,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/deaf73af25e0cc0747992b84c14d59e2a7b7bdd7.jpg,active,false
9983,moria,surgery-instruments,Micro-chirurgie Pince(droit),Micro-surgery Forceps(straight),Pince pour,Forceps for,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ad0406bd4ed6a5804c88ce12eed48ffaf58e6e92.jpg,active,false
9987,moria,surgery-instruments,Micro-chirurgie Pince(courbe),Micro-surgery Forceps(curved),Pince pour,Forceps for,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ba31f2a11f8fb09b9e1308e11ffc2f75b204f83b.jpg,active,false
M0489,moria,surgery-instruments,Castroviejo à Double Extrémité Spatule(à Double Extrémité),Castroviejo Double-ended Spatula(double-ended),Castroviejodouble-endedspatulawith a pointu spatulated embout et a mousse spatulated embout.Can be used to manipulate theintraocular lensand/ou thenucleus.,Castroviejodouble-endedspatulawith a sharp spatulated tip and a blunt spatulated tip.Can be used to manipulate theintraocular lensand/or thenucleus.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ccc24324e3bb1fb64a61c01e57ff5acbea4f69c6.jpg,active,false
M0567,moria,ophthalmology-surgical,Kuglen Crochet(k-embout),Kuglen Hook(k-tip),,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/e48f84b8d41a0dd829ae2c30debcc13707745cf0.jpg,active,false
M0570N,moria,ophthalmology-surgical,Nichamin à Double Extrémité Spatule(à Double Extrémité),Nichamin Double-ended Spatula(double-ended),Nichamin à double extrémité spatule avec a pointu 1.25 mm et a mousse spatule embout de 0.5 mm avec angulations de 110 et 135 respectively.Can be used to manipulate theintracular lensand/ou thecrystalline lensduringcataractsurgery.,Nichamin Double-Ended Spatula with a sharp 1.25 mm and a blunt spatula tip of 0.5 mm with angulations of 110 and 135 respectively.Can be used to manipulate theintracular lensand/or thecrystalline lensduringcataractsurgery.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/5da5962154dcd3ec1354675fc1cfe95f720d9444.jpg,active,false
M0577,moria,ophthalmology-surgical,Osher Crochet(y Embout),Osher Hook(y Tip),,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/a6d4e98eeda30d703eccd7788f7f06a7dc5bdfca.jpg,active,false
M0712,moria,ophthalmology-surgical,Koch Spatule(6.5-mm Embout),Koch Spatula(6.5-mm Tip),119-mm longueur avec a courbe partie active longueur de 6.55,119-mm length with a curved active part length of 6.55,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/f26bd62398243ceec5dff0e5898786dc7ae50f87.jpg,active,false
M1796,moria,surgery-instruments,"Castroviejo Pince à Suture(5.8-mm Platforms, 0.18-mm Teeth)","Castroviejo Suturing Forceps(5.8-mm Platforms, 0.18-mm Teeth)",CastroviejoSuturing pince is used pour,CastroviejoSuturing Forceps is used for,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/d07abe0d4ed6aa82026e900820fe88c009583c2f.jpg,active,false
M1809,moria,surgery-instruments,Bonn Pince(0.12-mm Teeth),Bonn Forceps(0.12-mm Teeth),ReusableBonnholding pince with0.12-mmteeth. Can be used to hold le cornée.,ReusableBonnholding forceps with0.12-mmteeth. Can be used to hold the cornea.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/12388297c01d858a1fe137560269420afa8d6bed.jpg,active,false
M1815A,moria,surgery-instruments,"Kelman-mac Pherson Pince(7-mm Platforms, Angulé Mors)","Kelman-mac Pherson Forceps(7-mm Platforms, Angled Jaws)",Kelman-Mac Phersonholding pince avec a flat dentelé,Kelman-Mac Phersonholding forceps with a flat serrated,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/493b4068d61c768a2238a22f168a65e763dd3324.jpg,active,false
M1815AK,moria,surgery-instruments,"Kelman-mac Pherson Pince(7-mm Platforms, Angulé Mors)","Kelman-mac Pherson Forceps(7-mm Platforms, Angled Jaws)",Kelman-Mac Phersonholding pince avec a flat dentelé,Kelman-Mac Phersonholding forceps with a flat serrated,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/493b4068d61c768a2238a22f168a65e763dd3324.jpg,active,false
M1815S,moria,surgery-instruments,"Mac Pherson Pince(4-mm Platforms, Mors Droits)","Mac Pherson Forceps(4-mm Platforms, Straight Jaws)",Mac Phersonholding pince avec a flat dentelé,Mac Phersonholding forceps with a flat serrated,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ab2afe8596efd25e22ae138f874a173b82d7a8d4.jpg,active,false
M2002,moria,surgery-instruments,Corydon Pince-1.8 Mm(1.8-mm Incision),Corydon Forceps-1.8 Mm(1.8-mm Incision),Réutilisable pince à capsulorhexis withstraight active partand 90pointed embout to produce le rhexis de le antérieur capsular bag through a1.8-mmincision.,Reusable capsulorhexis forceps withstraight active partand 90pointed tip to produce the rhexis of the anterior capsular bag through a1.8-mmincision.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/f09251271391e2ebc658064b3e7c4fd0b1d1056e.jpg,active,false
M2002C,moria,surgery-instruments,Corydon Pince-1.8 Mm(1.8-mm Incision),Corydon Forceps-1.8 Mm(1.8-mm Incision),Réutilisable pince à capsulorhexis withstraight active partand 90pointed embout to produce le rhexis de le antérieur capsular bag through a1.8-mmincision.,Reusable capsulorhexis forceps withstraight active partand 90pointed tip to produce the rhexis of the anterior capsular bag through a1.8-mmincision.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/f09251271391e2ebc658064b3e7c4fd0b1d1056e.jpg,active,false
M32390,moria,ophthalmology-surgical,Nagahara Spatule(110 Angulé Embout),Nagahara Spatula(110 Angled Tip),116-mm total,116-mm total,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/1bacc5a2a42ac64f04188c9bc772aee624608c74.jpg,active,false
