referenceFournisseur,constructeur,categoryId,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,pdfBrochureUrl,imageUrls,status,featured,originalReference,processedSlug,variantIndex
"7221069
Nouveau 2025",haag-streit,ophthalmology-diagnostic,Refractor 900,Refractor 900,🆕 NOUVEAU 2025 - Phoropter digital haute performance • Changement lentilles ultra-rapide (120ms) • Ajustements 1/8 dioptrie (sphère ET cylindre) • Mesure vertex distance vidéo temps réel • Porteur lentilles transparent • Moteur silencieux • Écran tactile intuitif • Séquences réfraction personnalisables • Intégration EMR sécurisée • Compatible Acuity Chart 900 • Design compact et ergonomique.,🆕 NOUVEAU 2025 - Phoropter digital haute performance • Changement lentilles ultra-rapide (120ms) • Ajustements 1/8 dioptrie (sphère and cylindre) • Mesure vertex distance vidéo temps réel • Porteur lentilles transparent • Moteur silencieux • Écran tactile intuitif • Séquences réfraction personnalisables • Intégration EMR sécurisée • compatible Acuity Chart 900 • Design compact and ergonomic.,,,https://haag-streit.com/2%20Products/General%20diagnostics/Refraction%20devices/refractor-900/brochures/english/BRO_Refractor_9001511_7021017_02010_WEB.pdf,https://haag-streit.com/2%20Products/General%20diagnostics/Refraction%20devices/refractor-900/images/download/32798/image-thumb__32798__highlightProductsMain/HS_Refractor900_ci_7221101_header_transparentbackground.cda855d8.avif,active,false,"7221069
Nouveau 2025",refractor-900,0
Nouveau 2024,haag-streit,surgery-instruments,Metis 900,Metis 900,"🆕 NOUVEAU 2024 - Centre de contrôle chirurgical • Reflet rouge coaxial optimisé • Contrôle glaucome motorisé (MIGS) • Vidéo 4K intégrée • Moniteur tactile 27"" ergonomique • LED durable (économie énergie) • Inclinaison motorisée • Contrôle sans fil 14 fonctions • Microscope assistant (enseignement) • EIBOS 2 / MIOS 6 compatibles • Design compact • Upgrade 3D heads-up possible.","🆕 NOUVEAU 2024 - Centre of contrôle surgical • Reflet rouge coaxial optimisé • Contrôle glaucoma motorisé (MIGS) • Vidéo 4K intégrée • Moniteur tactile 27"" ergonomic • LED durable (économie énergie) • Inclinaison motorisée • Contrôle wireless 14 fonctions • microscope assistant (enseignement) • EIBOS 2 / MIOS 6 compatibles • Design compact • Upgrade 3D heads-up possible.",,,,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/METIS/images/old-meti-images/27585/image-thumb__27585__highlightProductsMain/HS_metis_ci_4002010_header_overview.d7d47f41.avif,active,false,Nouveau 2024,metis-900,0
Nouveau 2025,haag-streit,ophthalmology-surgical,Elara 900,Elara 900,🆕 NOUVEAU 2025 - Lampe à fente réinventée pour le 21ème siècle • Illumination projecteur révolutionnaire (P-Type) • Presets numériques programmables • Capture vidéo/image 4K intégrée • Option 3D stéréoscopique • Hauteur et grossissement motorisés • Oculaires inclinés ergonomiques • Appui-tête spacieux • Chemin optique réduit 23% • Intégration EMR • Disponible: Allemagne/Suisse (global ESCRS 2025).,🆕 NOUVEAU 2025 - slit lamp réinventée for the 21ème siècle • Illumination projecteur révolutionnaire (P-Type) • Presets numériques programmables • Capture vidéo/image 4K intégrée • Option 3D stéréoscopique • height and magnification motorisés • Oculaires inclinés ergonomiques • Appui-head spacieux • Chemin optique réduit 23% • Intégration EMR • Disponible: Allemagne/Suisse (global ESCRS 2025).,,,,https://haag-streit.com/2%20Products/General%20diagnostics/Slit%20lamps/elara-900/images/32809/image-thumb__32809__highlightProductsMain/HS_elara_900_ci_7221085_facing_right_swiss_made.fd350c28.avif,active,false,Nouveau 2025,elara-900,0
4000006,haag-streit,surgery-instruments,Accessoires NEO 900 - 4000006,Accessories NEO 900 - 4000006,Gamme complète d'accessoires pour microscope Hi-R NEO 900: • EIBOS 2: Ophtalmoscope grand angle non-contact pour chirurgie vitréorétinienne - Lentilles 90D (procédures maculaires) et SPXL (grand angle) - Inverseur et focus intégrés • TOCULAR: Oculaire rotatif avec réticule pour alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° ou latérale • Vertiscope: Composant optique pour posture ergonomique du chirurgien • C.RED 900: Rehausseur de réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomique sans fil (14 fonctions) • Floor stand FS 2-25: Support au sol avec freins électromagnétiques • Caméras et moniteurs HD pour documentation et enseignement.,Gamme complète d'accessories for microscope Hi-R NEO 900: • EIBOS 2: ophthalmoscope grand angle non-contact for surgery vitréorétinienne - Lentilles 90D (procédures maculaires) and SPXL (grand angle) - Inverseur and focus intégrés • TOCULAR: ocular rotatif with réticule for alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° or latérale • Vertiscope: Composant optique for posture ergonomic of the chirurgien • C.RED 900: Rehausseur of réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomic wireless (14 fonctions) • Floor stand FS 2-25: Support au sol with freins électromagnétiques • Caméras and moniteurs HD for documentation and enseignement.,,,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Brochures/English/HS_hi_r_neo_900_br_xxx_for_first_class_surgery.pdf,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Images/9330/image-thumb__9330__highlightProductsMain/HS_hi_r_neo_900_ci_xxx_header_overview.3bab0698.avif,active,false,"4000006, 4000007, 4000060, 4000061, 4000011, 4000012, 4000054, 4000015, 4000018",accessoires-neo-900-4000006,0
4000007,haag-streit,surgery-instruments,Accessoires NEO 900 - 4000007,Accessories NEO 900 - 4000007,Gamme complète d'accessoires pour microscope Hi-R NEO 900: • EIBOS 2: Ophtalmoscope grand angle non-contact pour chirurgie vitréorétinienne - Lentilles 90D (procédures maculaires) et SPXL (grand angle) - Inverseur et focus intégrés • TOCULAR: Oculaire rotatif avec réticule pour alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° ou latérale • Vertiscope: Composant optique pour posture ergonomique du chirurgien • C.RED 900: Rehausseur de réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomique sans fil (14 fonctions) • Floor stand FS 2-25: Support au sol avec freins électromagnétiques • Caméras et moniteurs HD pour documentation et enseignement.,Gamme complète d'accessories for microscope Hi-R NEO 900: • EIBOS 2: ophthalmoscope grand angle non-contact for surgery vitréorétinienne - Lentilles 90D (procédures maculaires) and SPXL (grand angle) - Inverseur and focus intégrés • TOCULAR: ocular rotatif with réticule for alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° or latérale • Vertiscope: Composant optique for posture ergonomic of the chirurgien • C.RED 900: Rehausseur of réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomic wireless (14 fonctions) • Floor stand FS 2-25: Support au sol with freins électromagnétiques • Caméras and moniteurs HD for documentation and enseignement.,,,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Brochures/English/HS_hi_r_neo_900_br_xxx_for_first_class_surgery.pdf,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Images/9330/image-thumb__9330__highlightProductsMain/HS_hi_r_neo_900_ci_xxx_header_overview.3bab0698.avif,active,false,"4000006, 4000007, 4000060, 4000061, 4000011, 4000012, 4000054, 4000015, 4000018",accessoires-neo-900-4000007,1
4000060,haag-streit,surgery-instruments,Accessoires NEO 900 - 4000060,Accessories NEO 900 - 4000060,Gamme complète d'accessoires pour microscope Hi-R NEO 900: • EIBOS 2: Ophtalmoscope grand angle non-contact pour chirurgie vitréorétinienne - Lentilles 90D (procédures maculaires) et SPXL (grand angle) - Inverseur et focus intégrés • TOCULAR: Oculaire rotatif avec réticule pour alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° ou latérale • Vertiscope: Composant optique pour posture ergonomique du chirurgien • C.RED 900: Rehausseur de réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomique sans fil (14 fonctions) • Floor stand FS 2-25: Support au sol avec freins électromagnétiques • Caméras et moniteurs HD pour documentation et enseignement.,Gamme complète d'accessories for microscope Hi-R NEO 900: • EIBOS 2: ophthalmoscope grand angle non-contact for surgery vitréorétinienne - Lentilles 90D (procédures maculaires) and SPXL (grand angle) - Inverseur and focus intégrés • TOCULAR: ocular rotatif with réticule for alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° or latérale • Vertiscope: Composant optique for posture ergonomic of the chirurgien • C.RED 900: Rehausseur of réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomic wireless (14 fonctions) • Floor stand FS 2-25: Support au sol with freins électromagnétiques • Caméras and moniteurs HD for documentation and enseignement.,,,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Brochures/English/HS_hi_r_neo_900_br_xxx_for_first_class_surgery.pdf,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Images/9330/image-thumb__9330__highlightProductsMain/HS_hi_r_neo_900_ci_xxx_header_overview.3bab0698.avif,active,false,"4000006, 4000007, 4000060, 4000061, 4000011, 4000012, 4000054, 4000015, 4000018",accessoires-neo-900-4000060,2
4000061,haag-streit,surgery-instruments,Accessoires NEO 900 - 4000061,Accessories NEO 900 - 4000061,Gamme complète d'accessoires pour microscope Hi-R NEO 900: • EIBOS 2: Ophtalmoscope grand angle non-contact pour chirurgie vitréorétinienne - Lentilles 90D (procédures maculaires) et SPXL (grand angle) - Inverseur et focus intégrés • TOCULAR: Oculaire rotatif avec réticule pour alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° ou latérale • Vertiscope: Composant optique pour posture ergonomique du chirurgien • C.RED 900: Rehausseur de réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomique sans fil (14 fonctions) • Floor stand FS 2-25: Support au sol avec freins électromagnétiques • Caméras et moniteurs HD pour documentation et enseignement.,Gamme complète d'accessories for microscope Hi-R NEO 900: • EIBOS 2: ophthalmoscope grand angle non-contact for surgery vitréorétinienne - Lentilles 90D (procédures maculaires) and SPXL (grand angle) - Inverseur and focus intégrés • TOCULAR: ocular rotatif with réticule for alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° or latérale • Vertiscope: Composant optique for posture ergonomic of the chirurgien • C.RED 900: Rehausseur of réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomic wireless (14 fonctions) • Floor stand FS 2-25: Support au sol with freins électromagnétiques • Caméras and moniteurs HD for documentation and enseignement.,,,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Brochures/English/HS_hi_r_neo_900_br_xxx_for_first_class_surgery.pdf,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Images/9330/image-thumb__9330__highlightProductsMain/HS_hi_r_neo_900_ci_xxx_header_overview.3bab0698.avif,active,false,"4000006, 4000007, 4000060, 4000061, 4000011, 4000012, 4000054, 4000015, 4000018",accessoires-neo-900-4000061,3
4000011,haag-streit,surgery-instruments,Accessoires NEO 900 - 4000011,Accessories NEO 900 - 4000011,Gamme complète d'accessoires pour microscope Hi-R NEO 900: • EIBOS 2: Ophtalmoscope grand angle non-contact pour chirurgie vitréorétinienne - Lentilles 90D (procédures maculaires) et SPXL (grand angle) - Inverseur et focus intégrés • TOCULAR: Oculaire rotatif avec réticule pour alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° ou latérale • Vertiscope: Composant optique pour posture ergonomique du chirurgien • C.RED 900: Rehausseur de réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomique sans fil (14 fonctions) • Floor stand FS 2-25: Support au sol avec freins électromagnétiques • Caméras et moniteurs HD pour documentation et enseignement.,Gamme complète d'accessories for microscope Hi-R NEO 900: • EIBOS 2: ophthalmoscope grand angle non-contact for surgery vitréorétinienne - Lentilles 90D (procédures maculaires) and SPXL (grand angle) - Inverseur and focus intégrés • TOCULAR: ocular rotatif with réticule for alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° or latérale • Vertiscope: Composant optique for posture ergonomic of the chirurgien • C.RED 900: Rehausseur of réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomic wireless (14 fonctions) • Floor stand FS 2-25: Support au sol with freins électromagnétiques • Caméras and moniteurs HD for documentation and enseignement.,,,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Brochures/English/HS_hi_r_neo_900_br_xxx_for_first_class_surgery.pdf,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Images/9330/image-thumb__9330__highlightProductsMain/HS_hi_r_neo_900_ci_xxx_header_overview.3bab0698.avif,active,false,"4000006, 4000007, 4000060, 4000061, 4000011, 4000012, 4000054, 4000015, 4000018",accessoires-neo-900-4000011,4
4000012,haag-streit,surgery-instruments,Accessoires NEO 900 - 4000012,Accessories NEO 900 - 4000012,Gamme complète d'accessoires pour microscope Hi-R NEO 900: • EIBOS 2: Ophtalmoscope grand angle non-contact pour chirurgie vitréorétinienne - Lentilles 90D (procédures maculaires) et SPXL (grand angle) - Inverseur et focus intégrés • TOCULAR: Oculaire rotatif avec réticule pour alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° ou latérale • Vertiscope: Composant optique pour posture ergonomique du chirurgien • C.RED 900: Rehausseur de réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomique sans fil (14 fonctions) • Floor stand FS 2-25: Support au sol avec freins électromagnétiques • Caméras et moniteurs HD pour documentation et enseignement.,Gamme complète d'accessories for microscope Hi-R NEO 900: • EIBOS 2: ophthalmoscope grand angle non-contact for surgery vitréorétinienne - Lentilles 90D (procédures maculaires) and SPXL (grand angle) - Inverseur and focus intégrés • TOCULAR: ocular rotatif with réticule for alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° or latérale • Vertiscope: Composant optique for posture ergonomic of the chirurgien • C.RED 900: Rehausseur of réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomic wireless (14 fonctions) • Floor stand FS 2-25: Support au sol with freins électromagnétiques • Caméras and moniteurs HD for documentation and enseignement.,,,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Brochures/English/HS_hi_r_neo_900_br_xxx_for_first_class_surgery.pdf,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Images/9330/image-thumb__9330__highlightProductsMain/HS_hi_r_neo_900_ci_xxx_header_overview.3bab0698.avif,active,false,"4000006, 4000007, 4000060, 4000061, 4000011, 4000012, 4000054, 4000015, 4000018",accessoires-neo-900-4000012,5
4000054,haag-streit,surgery-instruments,Accessoires NEO 900 - 4000054,Accessories NEO 900 - 4000054,Gamme complète d'accessoires pour microscope Hi-R NEO 900: • EIBOS 2: Ophtalmoscope grand angle non-contact pour chirurgie vitréorétinienne - Lentilles 90D (procédures maculaires) et SPXL (grand angle) - Inverseur et focus intégrés • TOCULAR: Oculaire rotatif avec réticule pour alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° ou latérale • Vertiscope: Composant optique pour posture ergonomique du chirurgien • C.RED 900: Rehausseur de réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomique sans fil (14 fonctions) • Floor stand FS 2-25: Support au sol avec freins électromagnétiques • Caméras et moniteurs HD pour documentation et enseignement.,Gamme complète d'accessories for microscope Hi-R NEO 900: • EIBOS 2: ophthalmoscope grand angle non-contact for surgery vitréorétinienne - Lentilles 90D (procédures maculaires) and SPXL (grand angle) - Inverseur and focus intégrés • TOCULAR: ocular rotatif with réticule for alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° or latérale • Vertiscope: Composant optique for posture ergonomic of the chirurgien • C.RED 900: Rehausseur of réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomic wireless (14 fonctions) • Floor stand FS 2-25: Support au sol with freins électromagnétiques • Caméras and moniteurs HD for documentation and enseignement.,,,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Brochures/English/HS_hi_r_neo_900_br_xxx_for_first_class_surgery.pdf,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Images/9330/image-thumb__9330__highlightProductsMain/HS_hi_r_neo_900_ci_xxx_header_overview.3bab0698.avif,active,false,"4000006, 4000007, 4000060, 4000061, 4000011, 4000012, 4000054, 4000015, 4000018",accessoires-neo-900-4000054,6
