SKU,Manufacturer,Current_Name_EN,Current_Name_FR,New_Name_EN,New_Name_FR
"VRS-19","rumex","RUMEX Instrument","Instrument RUMEX","",""
"VRA-23","rumex","RUMEX Instrument","Instrument RUMEX","",""
"TR-17","rumex","RUMEX Instrument","Instrument RUMEX","",""
"CC-30","rumex","RUMEX Instrument","Instrument RUMEX","",""
"CC-26","rumex","RUMEX Instrument","Instrument RUMEX","",""
"2509-P-8030","KEELER","KEELER Instrument","Instrument KEELER","",""
"2414-P-7042","KEELER","KEELER Instrument","Instrument KEELER","",""
"EP29-32777","KEELER","KEELER Instrument","Instrument KEELER","",""
"3412-P-7002","KEELER","KEELER Instrument","Instrument KEELER","",""
"2509-P-8015","KEELER","KEELER Instrument","Instrument KEELER","",""
"2509-P-8027","KEELER","KEELER Instrument","Instrument KEELER","",""
"2508-P-7015","KEELER","KEELER Instrument","Instrument KEELER","",""
"2509-P-8028","KEELER","KEELER Instrument","Instrument KEELER","",""
"2509-P-8007","KEELER","KEELER Instrument","Instrument KEELER","",""
"2509-P-8008","KEELER","KEELER Instrument","Instrument KEELER","",""
"1302-P-1007","KEELER","KEELER Instrument","Instrument KEELER","",""
"1012-P-7003","KEELER","KEELER Instrument","Instrument KEELER","",""
"1512-P-7008","KEELER","KEELER Instrument","Instrument KEELER","",""
"1013-P-7008","KEELER","KEELER Instrument","Instrument KEELER","",""
"1012-P-7006","KEELER","KEELER Instrument","Instrument KEELER","",""
"1013-P-7009","KEELER","KEELER Instrument","Instrument KEELER","",""
"1013-P-7010","KEELER","KEELER Instrument","Instrument KEELER","",""
"1127-P-1008","KEELER","KEELER Instrument","Instrument KEELER","",""
"1205-P-1015","KEELER","KEELER Instrument","Instrument KEELER","",""
"1205-P-1019","KEELER","KEELER Instrument","Instrument KEELER","",""
"1202-P-7117","KEELER","KEELER Instrument","Instrument KEELER","",""
"1945-P-1000","KEELER","KEELER Instrument","Instrument KEELER","",""
"1205-P-1016","KEELER","KEELER Instrument","Instrument KEELER","",""
"2508-P-7018","KEELER","KEELER Instrument","Instrument KEELER","",""
"2508-P-7017","KEELER","KEELER Instrument","Instrument KEELER","",""
"2508-P-7016","KEELER","KEELER Instrument","Instrument KEELER","",""
"1015-P-7058","KEELER","KEELER Instrument","Instrument KEELER","",""
"1512-P-7040","KEELER","KEELER Instrument","Instrument KEELER","",""
"2417-P-7037","KEELER","KEELER Instrument","Instrument KEELER","",""
"2417-P-7025","KEELER","KEELER Instrument","Instrument KEELER","",""
"2414-P-7027","KEELER","KEELER Instrument","Instrument KEELER","",""
"2417-P-7035","KEELER","KEELER Instrument","Instrument KEELER","",""
"2417-P-7034","KEELER","KEELER Instrument","Instrument KEELER","",""
"2112-P-1022","KEELER","KEELER Instrument","Instrument KEELER","",""
"2112-P-1023","KEELER","KEELER Instrument","Instrument KEELER","",""
"2113-P-2014","KEELER","KEELER Instrument","Instrument KEELER","",""
"2113-P-2013","KEELER","KEELER Instrument","Instrument KEELER","",""
"2113-P-2004","KEELER","KEELER Instrument","Instrument KEELER","",""
"2112-P-8073","KEELER","KEELER Instrument","Instrument KEELER","",""
"1128-P-1008","KEELER","KEELER Instrument","Instrument KEELER","",""
"1011-P-7210","KEELER","KEELER Instrument","Instrument KEELER","",""
"1011-P-7106","KEELER","KEELER Instrument","Instrument KEELER","",""
"1132-P-1202","KEELER","KEELER Instrument","Instrument KEELER","",""
"2112-P-1067","KEELER","KEELER Instrument","Instrument KEELER","",""
"1514-P-1160","KEELER","KEELER Instrument","Instrument KEELER","",""
"1201-P-6067","KEELER","KEELER Instrument","Instrument KEELER","",""
"1514-P-7116","KEELER","KEELER Instrument","Instrument KEELER","",""
"1501-P-7117","KEELER","KEELER Instrument","Instrument KEELER","",""
"1011-P-7229","KEELER","KEELER Instrument","Instrument KEELER","",""
"1012-P-5276","KEELER","KEELER Instrument","Instrument KEELER","",""
"1514-P-7087","KEELER","KEELER Instrument","Instrument KEELER","",""
"1015-P-7066","KEELER","KEELER Instrument","Instrument KEELER","",""
"1501-P-5170","KEELER","KEELER Instrument","Instrument KEELER","",""
"1514-P-7060","KEELER","KEELER Instrument","Instrument KEELER","",""
"1512-P-7016","KEELER","KEELER Instrument","Instrument KEELER","",""
"1013-P-7011","KEELER","KEELER Instrument","Instrument KEELER","",""
