SKU,Manufacturer,Name_EN,Name_FR,Desc_EN,Desc_FR
"3020-P-2092","KEELER","Cámara of lamp of hendidura digital ready con software of imagen Kapture","Cámara de lampe de hendidura digital ready con software de imagen kapture","Lleve su lámpara of hendidura a the era digital Cámara of 3 megapíxeles y software Kapture convierta","Lleve su lámpara de hendidura a la era digitalcámara de 3 megapíxeles y software kapture convierta s"
"3020-P-2083","KEELER","Cámara of lamp of hendidura digital ready con software of imagen Kapture","Cámara de lampe de hendidura digital ready con software de imagen kapture","Lleve su lámpara of hendidura a the era digital Cámara of 3 megapíxeles y software Kapture convierta","Lleve su lámpara de hendidura a la era digitalcámara de 3 megapíxeles y software kapture convierta s"
"3020-P-2047","KEELER","Cámara of lamp of hendidura digital ready con software of imagen Kapture","Cámara de lampe de hendidura digital ready con software de imagen kapture","Lleve su lámpara of hendidura a the era digital Cámara of 3 megapíxeles y software Kapture convierta","Lleve su lámpara de hendidura a la era digitalcámara de 3 megapíxeles y software kapture convierta s"
"3020-P-2095","KEELER","Cámara of lamp of hendidura digital ready con software of imagen Kapture","Cámara de lampe de hendidura digital ready con software de imagen kapture","Lleve su lámpara of hendidura a the era digital Cámara of 3 megapíxeles y software Kapture convierta","Lleve su lámpara de hendidura a la era digitalcámara de 3 megapíxeles y software kapture convierta s"
"3020-P-2093","KEELER","Cámara of lamp of hendidura digital ready con software of imagen Kapture","Cámara de lampe de hendidura digital ready con software de imagen kapture","Lleve su lámpara of hendidura a the era digital Cámara of 3 megapíxeles y software Kapture convierta","Lleve su lámpara de hendidura a la era digitalcámara de 3 megapíxeles y software kapture convierta s"
"3020-P-2089","KEELER","Cámara of lamp of hendidura digital ready con software of imagen Kapture","Cámara de lampe de hendidura digital ready con software de imagen kapture","Lleve su lámpara of hendidura a the era digital Cámara of 3 megapíxeles y software Kapture convierta","Lleve su lámpara de hendidura a la era digitalcámara de 3 megapíxeles y software kapture convierta s"
"20001","MORIA","Crozafon Micro Pre-chopper (cross-action, 2.2-mm Incision)","Crozafon Micro Pre-chopper (cross-action, 2.2-mm Incision)","Total length of 120 mm with an active part in the shape of a forceps whose length is 5 mm over 1 mm.","Total longueur of 120 mm avec un partie active in le shape of un pince whose longueur is 5 mm over 1"
"8-1211","rumex","8-1211-23 Intraocular Needle Holder, 23 Ga, Tip Only","8-1211-23 Intraoculaire Porte-aiguille, 23 Ga, Embout Only","Designed for intraocular suturing and manipulations with the IOL.With fixation wheelFor 9.0-11.0 sut","Designed pour intraoculaire suture et manipulations avec le IOL.avec fixation wheelFor 9.0-11.0 sutu"
"B-45","pukang","Hydraulic Obstetric Bed","Hydraulic Obstetric Bed","Functions: Backrest lift, ATR tilt, TR tilt, Removable leg plateStd. Config: Hydraulic lifting colum","Functions: Backrest lift, ATR tilt, TR tilt, Removable leg plateStd. Config: Hydraulic lifting colum"
"ARTISAN APHAKIA","ophtec","Artisan Aphakia","Artisan Aphakie","PMMA iris-fixated IOL designed for the correction of aphakia. Artisan Aphakia is the #1 backup lens ","PMMA iris-fixated IOL designed pour le correction of aphakie. Artisan aphakie is le #1 backup crista"
"ARTISAN MYOPIA","ophtec","Artisan Myopia 206","Artisan Myopie 206","A predictable, reliable, stable and versatile iris fixated IOL designed to correct myopia. The Artis","Un predictable, reliable, stable et versatile iris fixated IOL designed to correct myopie. le Artisa"
